1484 8
0.73,0.6,0.47,0.2,0.5,0.0,0.72,0.22,CYT
0.78,0.82,0.56,0.21,0.5,0.0,0.69,0.22,CYT
0.42,0.49,0.49,0.36,0.5,0.0,0.57,0.26,MIT
0.44,0.62,0.53,0.27,0.5,0.0,0.49,0.22,NUC
0.56,0.61,0.52,0.19,0.5,0.0,0.52,0.32,NUC
0.47,0.56,0.46,0.5,0.5,0.0,0.51,0.22,MIT
0.46,0.33,0.45,0.22,0.5,0.0,0.41,0.37,CYT
0.52,0.43,0.61,0.22,0.5,0.0,0.45,0.22,CYT
0.52,0.43,0.61,0.22,0.5,0.0,0.45,0.22,CYT
0.32,0.44,0.54,0.21,0.5,0.0,0.4,0.19,CYT
0.32,0.44,0.54,0.21,0.5,0.0,0.4,0.19,CYT
0.48,0.41,0.52,0.33,0.5,0.0,0.51,0.26,CYT
0.46,0.39,0.54,0.22,0.5,0.0,0.48,0.25,CYT
0.46,0.39,0.54,0.22,0.5,0.0,0.48,0.25,CYT
0.42,0.5,0.64,0.13,0.5,0.0,0.49,0.22,CYT
0.46,0.54,0.59,0.41,0.5,0.0,0.53,0.21,CYT
0.46,0.54,0.59,0.41,0.5,0.0,0.53,0.21,CYT
0.38,0.5,0.52,0.44,0.5,0.0,0.54,0.11,CYT
0.38,0.5,0.52,0.44,0.5,0.0,0.54,0.11,CYT
0.51,0.52,0.58,0.17,0.5,0.0,0.47,0.28,CYT
0.5,0.5,0.62,0.23,0.5,0.0,0.35,0.11,CYT
0.53,0.57,0.6,0.36,0.5,0.0,0.5,0.22,CYT
0.53,0.57,0.6,0.36,0.5,0.0,0.5,0.22,CYT
0.37,0.3,0.62,0.43,0.5,0.0,0.44,0.39,CYT
0.37,0.3,0.62,0.43,0.5,0.0,0.44,0.39,CYT
0.6,0.57,0.52,0.14,0.5,0.0,0.46,0.48,NUC
0.42,0.38,0.52,0.29,0.5,0.0,0.42,0.22,NUC
0.41,0.46,0.58,0.08,0.5,0.0,0.51,0.28,NUC
0.49,0.4,0.58,0.23,0.5,0.0,0.47,0.27,CYT
0.37,0.37,0.51,0.38,0.5,0.0,0.44,0.22,CYT
0.57,0.5,0.4,0.08,0.5,0.0,0.47,0.22,ME3
0.51,0.4,0.5,0.28,0.5,0.0,0.48,0.27,CYT
0.34,0.25,0.55,0.28,0.5,0.0,0.51,0.49,CYT
0.77,0.86,0.44,0.27,0.5,0.0,0.48,0.22,ME1
0.59,0.54,0.53,0.14,0.5,0.0,0.48,0.22,CYT
0.5,0.48,0.48,0.23,0.5,0.0,0.53,0.68,CYT
0.39,1.0,0.38,0.41,0.5,0.0,0.5,0.27,MIT
0.56,0.42,0.52,0.14,0.5,0.0,0.51,0.22,CYT
0.39,0.46,0.33,0.18,0.5,0.0,0.53,0.22,ME3
0.52,0.54,0.47,0.49,0.5,0.0,0.54,0.22,MIT
0.46,0.49,0.55,0.18,0.5,0.0,0.56,0.22,NUC
0.56,0.65,0.49,0.56,0.5,0.0,0.49,0.22,MIT
0.53,0.51,0.55,0.57,0.5,0.0,0.46,0.22,MIT
0.54,0.64,0.4,0.56,0.5,0.0,0.51,0.22,MIT
0.47,0.58,0.47,0.52,0.5,0.0,0.54,0.22,MIT
0.46,0.42,0.51,0.16,0.5,0.0,0.56,0.22,CYT
0.6,0.51,0.49,0.18,0.5,0.0,0.53,0.38,CYT
0.55,0.52,0.44,0.2,0.5,0.0,0.56,0.22,ME2
0.49,0.38,0.56,0.09,0.5,0.0,0.46,0.22,CYT
0.38,0.4,0.53,0.12,0.5,0.0,0.55,0.22,CYT
0.55,0.55,0.52,0.13,0.5,0.0,0.53,0.25,CYT
0.46,0.44,0.58,0.17,0.5,0.0,0.55,0.22,CYT
0.34,0.46,0.52,0.19,0.5,0.0,0.53,0.26,CYT
0.58,0.56,0.46,0.14,0.5,0.0,0.51,0.22,CYT
0.46,0.47,0.44,0.18,1.0,0.0,0.46,0.22,ME2
0.44,0.71,0.5,0.21,0.5,0.0,0.54,0.27,CYT
0.56,0.49,0.32,0.22,0.5,0.0,0.5,0.22,ME2
0.41,0.49,0.47,0.09,0.5,0.0,0.49,0.22,CYT
0.44,0.51,0.53,0.3,0.5,0.0,0.53,0.22,CYT
0.54,0.51,0.56,0.15,0.5,0.0,0.54,0.31,CYT
0.51,0.51,0.32,0.27,0.5,0.0,0.54,0.22,ME3
0.46,0.38,0.51,0.2,0.5,0.0,0.51,0.22,CYT
0.55,0.72,0.35,0.26,0.5,0.0,0.49,0.22,ME3
0.65,0.66,0.37,0.12,0.5,0.0,0.52,0.27,ME3
0.41,0.4,0.56,0.17,0.5,0.0,0.56,0.22,CYT
0.39,0.71,0.38,0.14,0.5,0.0,0.5,0.22,ME2
0.37,0.42,0.46,0.15,0.5,0.0,0.51,0.31,ME2
0.59,0.55,0.57,0.18,0.5,0.0,0.51,0.22,CYT
0.48,0.51,0.5,0.24,0.5,0.0,0.54,0.38,CYT
0.39,0.3,0.63,0.2,0.5,0.0,0.43,0.47,CYT
0.47,0.52,0.54,0.25,0.5,0.0,0.54,0.29,MIT
0.77,0.82,0.4,0.36,0.5,0.0,0.38,0.22,ME1
0.52,0.55,0.39,0.09,1.0,0.0,0.55,0.25,ME3
0.42,0.28,0.33,0.23,0.5,0.0,0.39,0.26,ME3
0.47,0.37,0.46,0.28,0.5,0.0,0.52,0.99,NUC
0.48,0.5,0.47,0.29,0.5,0.0,0.46,0.27,NUC
0.49,0.49,0.52,0.18,0.5,0.0,0.51,0.25,NUC
0.54,0.59,0.57,0.34,0.5,0.0,0.49,0.22,NUC
0.7,0.78,0.53,0.24,0.5,0.0,0.48,0.22,VAC
0.85,0.69,0.34,0.31,0.5,0.0,0.57,0.3,ME1
0.56,0.59,0.45,0.15,0.5,0.0,0.54,0.22,MIT
0.47,0.56,0.53,0.44,0.5,0.0,0.53,0.22,MIT
0.53,0.49,0.47,0.21,0.5,0.0,0.53,0.22,CYT
0.7,0.57,0.34,0.19,0.5,0.0,0.53,0.27,ME2
0.42,0.43,0.67,0.7,0.5,0.0,0.42,0.25,CYT
0.47,0.44,0.53,0.18,0.5,0.0,0.47,0.29,NUC
0.4,0.49,0.53,0.23,0.5,0.0,0.44,0.26,NUC
0.45,0.65,0.51,0.17,0.5,0.0,0.49,0.22,NUC
0.42,0.42,0.55,0.31,0.5,0.0,0.43,0.22,NUC
0.45,0.41,0.53,0.49,0.5,0.0,0.49,0.31,NUC
0.42,0.28,0.49,0.22,0.5,0.0,0.55,0.34,NUC
0.47,0.5,0.47,0.22,0.5,0.0,0.53,0.45,NUC
0.56,0.55,0.57,0.15,0.5,0.0,0.54,0.25,CYT
0.37,0.47,0.49,0.12,0.5,0.0,0.47,0.31,NUC
0.32,0.6,0.48,0.13,0.5,0.0,0.53,0.22,NUC
0.38,0.42,0.31,0.35,0.5,0.0,0.52,0.22,ME3
0.46,0.56,0.56,0.25,0.5,0.0,0.43,0.22,NUC
0.37,0.55,0.52,0.13,0.5,0.0,0.42,0.8,CYT
0.46,0.48,0.38,0.22,0.5,0.0,0.39,0.45,ME3
0.8,0.69,0.53,0.33,0.5,0.0,0.51,0.22,ME2
0.52,0.65,0.36,0.37,0.5,0.0,0.52,0.34,ME3
0.19,0.16,0.68,0.36,0.5,0.0,0.49,0.21,NUC
0.47,0.56,0.51,0.2,0.5,0.0,0.52,0.59,NUC
0.4,0.75,0.44,0.12,0.5,0.0,0.49,0.22,NUC
0.48,0.55,0.58,0.18,0.5,0.0,0.38,0.69,NUC
0.57,0.51,0.34,0.13,0.5,0.0,0.53,0.27,MIT
0.54,0.5,0.51,0.26,0.5,0.0,0.52,0.22,CYT
0.6,0.64,0.56,0.36,0.5,0.0,0.46,0.27,CYT
0.27,0.41,0.24,0.2,0.5,0.0,0.49,0.22,ME3
0.25,0.35,0.22,0.18,0.5,0.0,0.46,0.22,ME3
0.39,0.45,0.51,0.29,0.5,0.0,0.54,0.22,CYT
0.33,0.47,0.55,0.24,0.5,0.0,0.45,0.67,NUC
0.43,0.47,0.47,0.18,0.5,0.0,0.47,0.22,CYT
0.66,0.43,0.57,0.6,0.5,0.0,0.19,0.33,NUC
0.55,0.4,0.62,0.22,0.5,0.0,0.37,0.28,NUC
0.33,0.46,0.6,0.18,0.5,0.0,0.51,0.26,NUC
0.51,0.5,0.54,0.11,0.5,0.0,0.6,0.22,NUC
0.54,0.6,0.57,0.17,0.5,0.0,0.44,0.22,NUC
0.45,0.57,0.38,0.28,0.5,0.0,0.53,0.31,ME3
0.54,0.47,0.58,0.4,0.5,0.0,0.46,0.27,MIT
0.36,0.32,0.55,0.27,0.5,0.0,0.47,0.43,NUC
0.46,0.41,0.45,0.23,0.5,0.0,0.48,0.22,NUC
0.4,0.39,0.6,0.23,0.5,0.0,0.52,0.31,NUC
0.52,0.47,0.58,0.18,0.5,0.0,0.34,0.11,CYT
0.52,0.47,0.58,0.18,0.5,0.0,0.34,0.11,CYT
0.5,0.45,0.51,0.19,0.5,0.0,0.53,0.25,CYT
0.57,0.55,0.51,0.18,0.5,0.0,0.51,0.43,NUC
0.44,0.43,0.46,0.28,0.5,0.0,0.45,0.29,NUC
0.46,0.5,0.5,0.28,0.5,0.0,0.5,0.37,NUC
0.77,0.73,0.49,0.46,0.5,0.0,0.38,0.22,EXC
0.38,0.58,0.46,0.21,0.5,0.0,0.52,0.22,NUC
0.32,0.68,0.51,0.16,0.5,0.83,0.55,0.22,POX
0.27,0.46,0.52,0.17,0.5,0.0,0.49,0.44,NUC
0.52,0.45,0.45,0.13,0.5,0.0,0.48,0.22,NUC
0.37,0.29,0.45,0.15,0.5,0.0,0.49,0.22,NUC
0.37,0.48,0.67,0.37,0.5,0.0,0.56,0.62,NUC
0.44,0.59,0.54,0.18,0.5,0.0,0.49,0.22,NUC
0.48,0.65,0.36,0.24,0.5,0.0,0.54,0.31,NUC
0.59,0.49,0.45,0.22,0.5,0.0,0.45,0.31,NUC
0.73,0.52,0.59,0.25,0.5,0.0,0.51,0.22,NUC
0.23,0.13,0.51,0.16,0.5,0.0,0.53,0.51,NUC
0.49,0.6,0.54,0.35,0.5,0.0,0.53,0.46,NUC
0.52,0.31,0.56,0.16,0.5,0.0,0.55,0.22,NUC
0.49,0.48,0.51,0.21,0.5,0.0,0.53,0.22,NUC
0.49,0.6,0.42,0.18,0.5,0.0,0.58,0.28,NUC
0.6,0.62,0.54,0.11,0.5,0.0,0.51,0.22,NUC
0.55,0.47,0.53,0.2,0.5,0.0,0.4,0.22,NUC
0.47,0.32,0.51,0.24,0.5,0.0,0.54,0.27,NUC
0.53,0.25,0.59,0.27,0.5,0.0,0.45,0.26,NUC
0.31,0.5,0.54,0.32,0.5,0.0,0.53,0.31,NUC
0.25,0.33,0.48,0.18,0.5,0.0,0.42,0.33,NUC
0.55,0.46,0.47,0.15,0.5,0.0,0.47,0.22,ME3
0.61,0.5,0.61,0.21,0.5,0.0,0.55,0.54,CYT
0.5,0.52,0.51,0.22,0.5,0.0,0.46,0.37,CYT
0.62,0.33,0.49,0.24,0.5,0.0,0.51,0.42,CYT
0.56,0.52,0.46,0.17,0.5,0.0,0.49,0.73,CYT
0.52,0.56,0.55,0.16,0.5,0.0,0.53,0.39,CYT
0.53,0.48,0.51,0.18,0.5,0.0,0.52,0.27,CYT
0.51,0.48,0.51,0.19,0.5,0.0,0.51,0.27,CYT
0.51,0.48,0.51,0.26,0.5,0.0,0.51,0.27,CYT
0.53,0.48,0.51,0.18,0.5,0.0,0.51,0.27,CYT
0.6,0.46,0.51,0.1,0.5,0.0,0.48,0.31,CYT
0.6,0.46,0.51,0.1,0.5,0.0,0.48,0.31,CYT
0.44,0.39,0.63,0.11,0.5,0.0,0.49,0.26,NUC
0.51,0.5,0.49,0.45,0.5,0.0,0.48,0.22,MIT
0.38,0.42,0.47,0.12,0.5,0.0,0.47,0.53,NUC
0.41,0.42,0.23,0.16,0.5,0.0,0.4,0.22,ME3
0.25,0.42,0.21,0.14,0.5,0.0,0.41,0.22,ME3
0.7,0.58,0.53,0.39,0.5,0.0,0.59,0.22,EXC
0.49,0.31,0.43,0.24,0.5,0.0,0.54,0.22,ME3
0.46,0.41,0.43,0.18,0.5,0.0,0.54,0.22,ME3
0.83,0.81,0.45,0.38,0.5,0.0,0.4,0.26,EXC
0.38,0.51,0.56,0.21,0.5,0.0,0.48,0.31,NUC
0.32,0.36,0.28,0.38,0.5,0.0,0.5,0.4,ME3
0.4,0.65,0.38,0.17,0.5,0.0,0.57,0.22,ME3
0.36,0.37,0.63,0.25,0.5,0.0,0.3,0.22,CYT
0.49,0.55,0.41,0.19,0.5,0.0,0.48,0.31,ME3
0.3,0.45,0.55,0.19,0.5,0.0,0.53,0.4,CYT
0.88,0.72,0.32,0.3,0.5,0.0,0.52,0.33,ME1
0.44,0.4,0.53,0.19,0.5,0.0,0.48,0.27,CYT
0.45,0.57,0.52,0.21,0.5,0.0,0.54,0.38,NUC
0.55,0.41,0.67,0.61,0.5,0.0,0.49,0.14,MIT
0.28,0.18,0.72,0.26,0.5,0.0,0.49,0.25,MIT
0.66,0.65,0.53,0.17,0.5,0.0,0.47,0.66,NUC
0.48,0.54,0.56,0.29,0.5,0.0,0.51,0.43,NUC
0.33,0.37,0.49,0.22,0.5,0.0,0.55,0.22,CYT
0.58,0.43,0.32,0.11,0.5,0.0,0.49,0.22,VAC
0.58,0.64,0.42,0.3,0.5,0.0,0.54,0.22,NUC
0.74,0.82,0.46,0.24,0.5,0.0,0.5,0.31,EXC
0.74,0.82,0.46,0.24,0.5,0.0,0.48,0.22,EXC
0.75,0.76,0.58,0.22,0.5,0.0,0.49,0.22,EXC
0.58,0.37,0.58,0.16,0.5,0.0,0.51,0.22,NUC
0.39,0.39,0.65,0.16,0.5,0.0,0.45,0.22,CYT
0.51,0.59,0.55,0.21,0.5,0.0,0.52,0.22,CYT
0.41,0.35,0.6,0.22,0.5,0.0,0.56,0.79,CYT
0.43,0.28,0.41,0.32,0.5,0.0,0.52,0.22,ME3
0.41,0.49,0.55,0.13,0.5,0.0,0.55,0.22,CYT
0.23,0.29,0.46,0.0,0.5,0.0,0.43,0.31,CYT
0.38,0.34,0.55,0.44,0.5,0.0,0.48,0.26,CYT
0.61,0.54,0.54,0.38,0.5,0.0,0.54,0.29,MIT
0.47,0.47,0.5,0.19,0.5,0.0,0.51,0.26,NUC
0.55,0.38,0.52,0.16,0.5,0.0,0.49,0.64,NUC
0.41,0.39,0.61,0.17,0.5,0.0,0.5,0.61,NUC
0.41,0.56,0.53,0.16,0.5,0.0,0.55,0.26,NUC
0.78,0.73,0.27,0.28,0.5,0.0,0.56,0.22,ME1
0.31,0.51,0.38,0.18,0.5,0.0,0.46,0.31,ME3
0.63,0.64,0.49,0.2,0.5,0.0,0.52,0.25,CYT
0.31,0.4,0.31,0.17,0.5,0.0,0.52,0.22,ME3
0.44,0.65,0.49,0.16,0.5,0.0,0.48,0.31,NUC
0.48,0.44,0.46,0.37,0.5,0.0,0.46,0.36,CYT
0.5,0.49,0.46,0.22,0.5,0.0,0.53,0.25,CYT
0.62,0.42,0.47,0.16,0.5,0.0,0.52,0.22,CYT
0.5,0.45,0.52,0.18,0.5,0.0,0.52,0.22,CYT
0.59,0.51,0.47,0.21,0.5,0.0,0.47,0.22,CYT
0.39,0.47,0.49,0.2,0.5,0.0,0.53,0.26,CYT
0.49,0.48,0.52,0.24,0.5,0.0,0.5,0.22,CYT
0.59,0.48,0.49,0.42,0.5,0.0,0.52,0.22,CYT
0.57,0.35,0.5,0.43,0.5,0.0,0.53,0.22,CYT
0.61,0.52,0.5,0.44,0.5,0.0,0.53,0.22,CYT
0.49,0.51,0.52,0.13,0.5,0.0,0.51,0.33,NUC
0.45,0.4,0.56,0.15,0.5,0.0,0.52,0.22,NUC
0.63,0.43,0.48,0.11,0.5,0.0,0.51,0.22,CYT
0.63,0.43,0.48,0.11,0.5,0.0,0.51,0.22,CYT
0.52,0.45,0.53,0.34,0.5,0.0,0.52,0.44,CYT
0.54,0.48,0.55,0.33,0.5,0.0,0.55,0.4,CYT
0.55,0.79,0.45,0.25,0.5,0.0,0.51,0.22,NUC
0.58,0.51,0.63,0.2,0.5,0.0,0.5,0.42,NUC
0.63,0.58,0.57,0.1,0.5,0.0,0.52,0.33,NUC
0.54,0.67,0.56,0.15,0.5,0.0,0.57,0.33,NUC
0.41,0.59,0.65,0.14,0.5,0.0,0.49,0.33,NUC
0.47,0.38,0.5,0.15,0.5,0.0,0.49,0.47,NUC
0.33,0.17,0.52,0.13,0.5,0.0,0.51,0.75,NUC
0.42,0.5,0.59,0.17,0.5,0.0,0.51,0.22,CYT
0.54,0.55,0.55,0.4,0.5,0.0,0.53,0.22,CYT
0.31,0.31,0.57,0.15,0.5,0.0,0.5,0.22,CYT
0.38,0.42,0.5,0.19,0.5,0.0,0.44,0.22,CYT
0.33,0.36,0.62,0.26,0.5,0.0,0.55,0.22,CYT
0.38,0.42,0.5,0.19,0.5,0.0,0.44,0.22,CYT
0.47,0.56,0.58,0.19,0.5,0.0,0.44,0.64,CYT
0.32,0.32,0.52,0.18,0.5,0.0,0.48,0.34,CYT
0.28,0.27,0.5,0.14,0.5,0.0,0.5,0.28,CYT
0.41,0.46,0.57,0.25,0.5,0.0,0.57,0.38,CYT
0.44,0.54,0.51,0.16,0.5,0.0,0.58,0.22,CYT
0.44,0.55,0.51,0.16,0.5,0.0,0.6,0.22,CYT
0.77,0.7,0.44,0.29,0.5,0.0,0.56,0.22,ME1
0.4,0.56,0.53,0.15,0.5,0.0,0.49,0.22,CYT
0.79,0.79,0.42,0.26,0.5,0.0,0.6,0.22,ME1
0.8,0.83,0.43,0.24,0.5,0.0,0.54,0.22,ME1
0.58,0.55,0.51,0.13,0.5,0.0,0.52,0.22,CYT
0.55,0.69,0.51,0.12,0.5,0.0,0.51,0.22,CYT
0.47,0.46,0.53,0.12,0.5,0.0,0.51,0.25,NUC
0.57,0.29,0.63,0.22,0.5,0.0,0.49,0.27,NUC
0.52,0.49,0.59,0.21,0.5,0.0,0.47,0.22,NUC
0.41,0.42,0.53,0.17,0.5,0.0,0.48,0.58,NUC
0.49,0.5,0.42,0.43,0.5,0.0,0.5,0.36,VAC
0.44,0.49,0.49,0.27,0.5,0.0,0.52,0.22,CYT
0.25,0.26,0.53,0.17,0.5,0.0,0.45,0.22,CYT
0.49,0.46,0.54,0.18,0.5,0.0,0.35,0.22,CYT
0.42,0.37,0.54,0.17,0.5,0.0,0.51,0.22,CYT
0.42,0.45,0.75,0.21,0.5,0.0,0.48,0.22,CYT
0.39,0.45,0.75,0.17,0.5,0.0,0.51,0.22,CYT
0.63,0.54,0.53,0.27,0.5,0.0,0.49,0.22,CYT
0.4,0.44,0.5,0.13,0.5,0.0,0.52,0.39,CYT
0.55,0.39,0.39,0.47,0.5,0.0,0.5,0.83,ME3
0.59,0.48,0.41,0.53,0.5,0.0,0.48,0.56,ME3
0.53,0.45,0.52,0.29,0.5,0.0,0.55,0.38,MIT
0.62,0.6,0.54,0.22,0.5,0.0,0.54,0.27,CYT
0.33,0.46,0.53,0.12,0.5,0.0,0.5,0.27,CYT
0.57,0.36,0.51,0.25,0.5,0.0,0.54,0.25,CYT
0.45,0.76,0.51,0.25,0.5,0.0,0.59,0.22,CYT
0.48,0.44,0.51,0.24,0.5,0.0,0.49,0.22,CYT
0.59,0.64,0.44,0.26,0.5,0.0,0.5,0.22,CYT
0.79,0.56,0.53,0.19,0.5,0.0,0.47,0.35,CYT
0.5,0.5,0.48,0.34,0.5,0.0,0.52,0.27,NUC
0.79,0.62,0.35,0.35,0.5,0.0,0.6,0.28,ME2
0.52,0.5,0.6,0.2,0.5,0.0,0.52,0.22,CYT
0.59,0.46,0.57,0.17,0.5,0.0,0.52,0.22,CYT
0.53,0.42,0.53,0.19,0.5,0.0,0.47,0.22,CYT
0.59,0.46,0.55,0.17,0.5,0.0,0.52,0.25,CYT
0.61,0.73,0.5,0.58,0.5,0.0,0.5,0.22,MIT
0.5,0.43,0.56,0.17,0.5,0.0,0.35,0.22,NUC
0.36,0.52,0.61,0.33,0.5,0.0,0.52,0.37,NUC
0.52,0.51,0.48,0.12,0.5,0.0,0.54,0.31,CYT
0.47,0.46,0.49,0.27,0.5,0.0,0.59,0.22,CYT
0.5,0.46,0.49,0.27,0.5,0.0,0.6,0.22,CYT
0.5,0.44,0.57,0.28,0.5,0.0,0.57,0.22,CYT
0.46,0.47,0.62,0.3,0.5,0.0,0.38,0.22,CYT
0.59,0.7,0.46,0.19,0.5,0.0,0.54,0.44,CYT
0.19,0.41,0.55,0.13,0.5,0.0,0.52,0.25,CYT
0.27,0.43,0.5,0.13,0.5,0.0,0.54,0.31,CYT
0.42,0.46,0.44,0.17,0.5,0.0,0.51,0.42,CYT
0.49,0.36,0.47,0.28,0.5,0.0,0.56,0.54,NUC
0.42,0.51,0.33,0.16,0.5,0.0,0.54,0.22,ME3
0.34,0.42,0.48,0.19,0.5,0.0,0.46,0.31,NUC
0.6,0.57,0.63,0.22,0.5,0.0,0.5,0.49,NUC
0.53,0.44,0.54,0.52,0.5,0.0,0.49,0.38,NUC
